,Year,Swath,Snowdrift Depth Threshold $m$,%DA,%DV,Total Drift Area $m^2$,Total Drift Volume $m^3$,Drift Intensity $m$,Drift Volume / Drift Area (Avg. Drift Depth) $m$
4,2012,CLPX,0.65,7.884397828059561,20.135825872421265,12158887,11202504,0.12023146852590624,0.9213428070067209
6,2012,HV,0.72,12.274849473897548,30.17885386943817,2325701,2756461,0.14548364955074397,1.1852173817700555
2,2013,HV,0.77,15.240035428041601,32.91107714176178,3151244,3737648,0.180760028603201,1.1860866692645824
11,2013,CLPX,0.68,13.781462419999583,22.384385764598846,21703191,18528296,0.1954302242269611,0.8537129469250577
0,2015,CLPX,0.82,16.470160807507217,32.909613847732544,15718826,17190050,0.18011706967752517,1.0935963029300024
3,2015,HV,0.85,18.648809053710778,29.937246441841125,5320028,6047839,0.21200075394074078,1.136805858916532
8,2016,HV,0.63,15.358481508503546,25.392743945121765,4032467,3492941,0.13303587465944455,0.8662046087419935
9,2016,CLPX,0.65,11.918545051903257,23.103980720043182,11109247,9969117,0.10695357668453553,0.8973710819464181
5,2017,CLPX,0.75,13.447058498317052,27.87451148033142,12676978,13109179,0.13905514143663375,1.0340933777750503
7,2017,HV,0.8,13.876161742487165,32.746124267578125,3861865,4873657,0.17511656365358386,1.2619956937904355
1,2018,CLPX,0.86,18.277571111479556,41.840147972106934,17139872,22564338,0.24062098735536672,1.3164822934500329
10,2018,HV,0.73,16.977821811859954,41.87849760055542,4743599,5713938,0.2045076527272359,1.2045576575928951
